[23/Nov/2019:18:23:07] VendorID=5037 Code=C AcctID=5317605039838520	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Crusher	category
[23/Nov/2019:18:40:04] VendorID=1012 Code=N AcctID=6846354483746995	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:18:40:34] VendorID=5035 Code=D AcctID=5808585282617379	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Crusher	category
[23/Nov/2019:18:40:40] VendorID=9111 Code=N AcctID=4771561792578011	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:18:41:09] VendorID=5012 Code=K AcctID=1470501372219928	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Time Warp	categoryId=STRATEGY	price=99.97
[23/Nov/2019:18:41:17] VendorID=1074 Code=M AcctID=6295631128963248	VendorCountry=United States	VendorStateProvince=Alabama	product_name=World of Wonder	categoryId=STRATEGY	price=37.20
[23/Nov/2019:18:41:46] VendorID=1062 Code=I AcctID=8283861263133381	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Final Sequel	categoryId=STRATEGY	price=25.52
[23/Nov/2019:18:42:00] VendorID=1114 Code=F AcctID=9959035941986586	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=Dream Crusher	categoryId=STRATEGY	price=10.45
[23/Nov/2019:18:42:15] VendorID=1007 Code=F AcctID=3631948707096840	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:18:42:36] VendorID=1261 Code=L AcctID=4521741681909310	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Time Warp	categoryId=STRATEGY	price=99.97
[23/Nov/2019:18:42:57] VendorID=1035 Code=I AcctID=3829492945770839	VendorCountry=United States	VendorStateProvince=Alabama	product_name=World of Wonder	categoryId=STRATEGY	price=37.20
[23/Nov/2019:18:43:25] VendorID=1064 Code=B AcctID=6047572642223083	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Crusher	category
[23/Nov/2019:18:43:45] VendorID=1021 Code=M AcctID=2596425898579867	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:18:44:05] VendorID=4104 Code=A AcctID=6542414466309016	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=Dream Crusher	categoryId=STRATEGY	price=10.45
[23/Nov/2019:18:44:18] VendorID=3106 Code=G AcctID=3133920169998267	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Final Sequel	categoryId=STRATEGY	price=25.52
[23/Nov/2019:18:44:49] VendorID=7007 Code=B AcctID=4961664738257503	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Time Warp	categoryId=STRATEGY	price=99.97
[23/Nov/2019:18:45:14] VendorID=1026 Code=D AcctID=9982872435582352	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=Dream Crusher	categoryId=STRATEGY	price=10.45
[23/Nov/2019:18:45:24] VendorID=5021 Code=A AcctID=7001887237936027	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Crusher	category
[23/Nov/2019:18:45:50] VendorID=1020 Code=N AcctID=9433248338069909	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:18:46:08] VendorID=3104 Code=N AcctID=9767437379029716	VendorCountry=United States	VendorStateProvince=California	product_name=Sim Cubicle	categoryId=STRATEGY	price=100.23
[23/Nov/2019:18:46:33] VendorID=5004 Code=D AcctID=2165016190318832	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:18:46:38] VendorID=1244 Code=C AcctID=1086958008512880	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Crusher	category
[23/Nov/2019:18:47:14] VendorID=5038 Code=K AcctID=2557442696026233	VendorCountry=Germany	VendorStateProvince=District_1	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:18:47:24] VendorID=9100 Code=N AcctID=9519954164703375	VendorCountry=Germany	VendorStateProvince=District_2	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:18:47:53] VendorID=1120 Code=F AcctID=7728374250922159	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Final Sequel	categoryId=STRATEGY	price=25.52
[23/Nov/2019:18:48:02] VendorID=7012 Code=A AcctID=3010260653510746	VendorCountry=Germany	VendorStateProvince=District_2	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:18:48:16] VendorID=5034 Code=E AcctID=5964773251864757	VendorCountry=United States	VendorStateProvince=California	product_name=Picking Cotton	categoryId=NEGOTIATION	price=65.89
[23/Nov/2019:18:48:50] VendorID=4108 Code=M AcctID=4390946414712407	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=Dream Crusher	categoryId=STRATEGY	price=10.45
[23/Nov/2019:18:49:02] VendorID=7004 Code=J AcctID=4980969472718455	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Time Warp	categoryId=STRATEGY	price=99.97
[23/Nov/2019:18:49:18] VendorID=1246 Code=C AcctID=4787657413525087	VendorCountry=Germany	VendorStateProvince=District_1	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:18:49:41] VendorID=1191 Code=F AcctID=8607787002201697	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:18:50:04] VendorID=7022 Code=J AcctID=1776288599561992VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:18:50:31] VendorID=1249 Code=D AcctID=8269624054262013	VendorCountry=United States	VendorStateProvince=California	product_name=Sim Cubicle	categoryId=STRATEGY	price=100.23
[23/Nov/2019:18:50:43] VendorID=5039 Code=N AcctID=1071744800288439	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:18:51:07] VendorID=1132 Code=H AcctID=8355014055177039	VendorCountry=United States	VendorStateProvince=California	product_name=Picking Cotton	categoryId=NEGOTIATION	price=65.89
[23/Nov/2019:18:51:31] VendorID=1264 Code=D AcctID=4667502320035440	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:18:51:54] VendorID=1074 Code=F AcctID=5385719813272822	VendorCountry=United States	VendorStateProvince=Alabama	product_name=World of Wonder	categoryId=STRATEGY	price=37.20
[23/Nov/2019:18:52:07] VendorID=1132 Code=I AcctID=1616232703551836	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:18:52:28] VendorID=7003 Code=L AcctID=9075878981825829	VendorCountry=United States	VendorStateProvince=California	product_name=Sim Cubicle	categoryId=STRATEGY	price=100.23
[23/Nov/2019:18:52:38] VendorID=1025 Code=I AcctID=1960285019813739	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:18:53:00] VendorID=1053 Code=G AcctID=5610763216483278	VendorCountry=United States	VendorStateProvince=Alabama	product_name=World of Wonder	categoryId=STRATEGY	price=37.20
[23/Nov/2019:18:53:34] VendorID=5011 Code=I AcctID=5292026014634217	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Time Warp	categoryId=STRATEGY	price=99.97
[23/Nov/2019:18:53:48] VendorID=1123 Code=G AcctID=4338964959176751	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:18:54:03] VendorID=7024 Code=N AcctID=8493890314907680	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:18:54:31] VendorID=1019 Code=D AcctID=8024235977209229	VendorCountry=United States	VendorStateProvince=Alabama	product_name=World of Wonder	categoryId=STRATEGY	price=37.20
[23/Nov/2019:18:54:36] VendorID=1005 Code=C AcctID=7062407711589506	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Time Warp	categoryId=STRATEGY	price=99.97
[23/Nov/2019:18:55:00] VendorID=1049 Code=M AcctID=1032436111527313	VendorCountry=United States	VendorStateProvince=Alabama	product_name=World of Wonder	categoryId=STRATEGY	price=37.20
[23/Nov/2019:18:55:20] VendorID=1072 Code=B AcctID=9253794553306091	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:18:55:38] VendorID=5060 Code=J AcctID=5108297879062385	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=World of Cheese	categoryId=STRATEGY	price=56.56
[23/Nov/2019:18:55:55] VendorID=1266 Code=D AcctID=8837959054666840	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Final Sequel	categoryId=STRATEGY	price=25.52
[23/Nov/2019:18:56:26] VendorID=1115 Code=F AcctID=9073005360377806	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:18:56:54] VendorID=5011 Code=D AcctID=6806859165893407	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=World of Cheese	categoryId=STRATEGY	price=56.56
[23/Nov/2019:18:57:13] VendorID=7026 Code=G AcctID=3407939195115286	VendorCountry=United States	VendorStateProvince=California	product_name=Sim Cubicle	categoryId=STRATEGY	price=100.23
[23/Nov/2019:18:57:19] VendorID=5059 Code=A AcctID=1007165760221792	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:18:57:40] VendorID=1175 Code=H AcctID=2240883264152352	VendorCountry=United States	VendorStateProvince=California	product_name=Life in Mars	categoryId=STRATEGY	price=36.75
[23/Nov/2019:18:58:13] VendorID=7018 Code=D AcctID=5012218516293885	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:18:58:25] VendorID=5010 Code=H AcctID=1858465587603787	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:18:58:52] VendorID=1140 Code=D AcctID=9584476316859623	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:18:59:11] VendorID=4117 Code=D AcctID=9039291242965353	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:18:59:29] VendorID=1203 Code=D AcctID=7247110074508276	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:18:59:37] VendorID=1036 Code=A AcctID=6861754419819494	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Final Sequel	categoryId=STRATEGY	price=25.52
[23/Nov/2019:19:00:09] VendorID=1078 Code=K AcctID=1305866721952163	VendorCountry=United States	VendorStateProvince=California	product_name=Life in Mars	categoryId=STRATEGY	price=36.75
[23/Nov/2019:19:00:15] VendorID=1094 Code=C AcctID=9510526576131483	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:19:00:49] VendorID=1272 Code=D AcctID=7432593943753948	VendorCountry=United States	VendorStateProvince=California	product_name=Sim Cubicle	categoryId=STRATEGY	price=100.23
[23/Nov/2019:19:01:01] VendorID=1106 Code=N AcctID=1574594940902732	VendorCountry=United States	VendorStateProvince=Alabama	product_name=World of Wonder	categoryId=STRATEGY	price=37.20
[23/Nov/2019:19:01:23] VendorID=5065 Code=H AcctID=9910677563808084	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:19:01:51] VendorID=1177 Code=C AcctID=5425506311609685	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Final Sequel	categoryId=STRATEGY	price=25.52
[23/Nov/2019:19:02:01] VendorID=1162 Code=L AcctID=6902253402290081	VendorCountry=United States	VendorStateProvince=California	product_name=Life in Mars	categoryId=STRATEGY	price=36.75
[23/Nov/2019:19:02:33] VendorID=1147 Code=B AcctID=9223615998445700	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:19:02:38] VendorID=1067 Code=M AcctID=3126785684020087	VendorCountry=United States	VendorStateProvince=California	product_name=Sim Cubicle	categoryId=STRATEGY	price=100.23
[23/Nov/2019:19:03:09] VendorID=1162 Code=L AcctID=7907916368246813	VendorCountry=United States	VendorStateProvince=California	product_name=Life in Mars	categoryId=STRATEGY	price=36.75
[23/Nov/2019:19:03:24] VendorID=1293 Code=L AcctID=7218109888484941	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Holy Blade of Goada	categoryId=STRATEGY	price=178.65
[23/Nov/2019:19:03:51] VendorID=1097 Code=B AcctID=9969646224756446	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:19:04:05] VendorID=7011 Code=A AcctID=7856360712939849	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:19:04:30] VendorID=1163 Code=I AcctID=5523581613141295	VendorCountry=United States	VendorStateProvince=California	product_name=Sim Cubicle	categoryId=STRATEGY	price=100.23
[23/Nov/2019:19:04:41] VendorID=9106 Code=B AcctID=4569512143875625	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=Dream Crusher	categoryId=STRATEGY	price=10.45
[23/Nov/2019:19:05:02] VendorID=1204 Code=G AcctID=3987620156211041	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Holy Blade of Goada	categoryId=STRATEGY	price=178.65
[23/Nov/2019:19:05:22] VendorID=1021 Code=E AcctID=5485988184235969	VendorCountry=United States	VendorStateProvince=California	product_name=Sim Cubicle	categoryId=STRATEGY	price=100.23
[23/Nov/2019:19:05:43] VendorID=1126 Code=B AcctID=1681572706978824	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:19:06:04] VendorID=1020 Code=K AcctID=1224823083999643	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Final Sequel	categoryId=STRATEGY	price=25.52
[23/Nov/2019:19:06:31] VendorID=5020 Code=G AcctID=8337294066953446	VendorCountry=United States	VendorStateProvince=California	product_name=Life in Mars	categoryId=STRATEGY	price=36.75
[23/Nov/2019:19:06:51] VendorID=4114 Code=H AcctID=2048602887819478	VendorCountry=United States	VendorStateProvince=California	product_name=World of Cheese	categoryId=STRATEGY	price=56.56
[23/Nov/2019:19:07:04] VendorID=1129 Code=E AcctID=2501755418054425	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:19:07:30] VendorID=5022 Code=M AcctID=4368875268181954	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:19:07:42] VendorID=5029 Code=A AcctID=8716263997172006	VendorCountry=United States	VendorStateProvince=California	product_name=Sim Cubicle	categoryId=STRATEGY	price=100.23
[23/Nov/2019:19:08:03] VendorID=1258 Code=N AcctID=2961035684409015	VendorCountry=United States	VendorStateProvince=Alabama	product_name=World of Wonder	categoryId=STRATEGY	price=37.20
[23/Nov/2019:19:08:26] VendorID=1219 Code=G AcctID=3274750452838111	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:19:08:38] VendorID=1149 Code=F AcctID=6564130621013444	VendorCountry=United States	VendorStateProvince=California	product_name=Life in Mars	categoryId=STRATEGY	price=36.75
[23/Nov/2019:19:09:11] VendorID=1032 Code=B AcctID=9209271081301685	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:19:09:19] VendorID=7043 Code=L AcctID=8293273849923184	VendorCountry=United States	VendorStateProvince=California	product_name=World of Cheese	categoryId=STRATEGY	price=56.56
[23/Nov/2019:19:09:36] VendorID=1292 Code=I AcctID=1969837583170053	VendorCountry=Germany	VendorStateProvince=District_1	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:19:10:00] VendorID=5033 Code=N AcctID=9637632509081031	VendorCountry=United States	VendorStateProvince=Alabama	product_name=World of Wonder	categoryId=STRATEGY	price=37.20
[23/Nov/2019:19:10:33] VendorID=1241 Code=C AcctID=5778221318688889	VendorCountry=Germany	VendorStateProvince=District_1	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:19:10:38] VendorID=9105 Code=C AcctID=2720516045525320	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=World of Cheese	categoryId=STRATEGY	price=56.56
[23/Nov/2019:19:11:02] VendorID=1116 Code=A AcctID=7567485776663850	VendorCountry=Germany	VendorStateProvince=District_2	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:19:11:20] VendorID=5055 Code=N AcctID=4161902988368681	VendorCountry=Germany	VendorStateProvince=District_1	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:19:11:44] VendorID=1165 Code=A AcctID=1651841178673371	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=Dream Crusher	categoryId=STRATEGY	price=10.45
[23/Nov/2019:19:12:02] VendorID=1097 Code=F AcctID=4175332940987179	VendorCountry=Germany	VendorStateProvince=District_1	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:19:12:22] VendorID=1109 Code=L AcctID=1993876526671179	VendorCountry=Germany	VendorStateProvince=District_2	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:19:12:49] VendorID=5053 Code=G AcctID=7520234104992484	VendorCountry=Germany	VendorStateProvince=District_1	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:19:13:12] VendorID=1027 Code=M AcctID=7085611202714982	VendorCountry=United States	VendorStateProvince=California	product_name=Life in Mars	categoryId=STRATEGY	price=36.75
